personal_injury,make,model,color
false,FORD,4S,BLACK
false,AUDI,4S,GRAY
false,TOYT,4S,RED
false,HONDA,CIVIC,SILVER
false,HONDA,ACCORD,SILVER
false,CHEVROLET,IMPALA,SILVER
false,DODGE,CHARGER,BLACK
false,FORD,TAURUS,WHITE
false,INFINITY,QX4,SILVER
false,TOYT,4 RUNNER,BLACK
false,HYUNDAI,ELANTRA,GRAY
false,FORD,PICKUP,BLACK
false,DODGE,SPRINTER,WHITE
false,NISSAN,SENTRA,GRAY
false,CADI,STS,BLACK
false,CHEVROLET,IMPALA,WHITE
false,NONE,NONE,N/A
false,TOYOTA,TACOMA,GREEN
false,CADILLAC,CTS,SILVER
false,SATURN,LS,SILVER
false,HONDA,ACCORD,GOLD
false,DODGE,CALIBER,ORANGE
false,HOND,TK,"BLUE, DARK"
false,TOYOTA,CAMRY,BLACK
false,ACUR,4S,GOLD
false,FORD,ECONOLINE,WHITE
false,LEXUS,RX300,WHITE
false,GILL,HY,BLUE
false,PONTIAC,GRAND PRIX,BLACK
false,LEXUS,4S,BLACK
false,CADI,ESCALADE,BLACK
false,HONDA,PILOT,GRAY
false,JEEP,4X4,GRAY
false,AUDI,S5,BLACK
false,TOYT,RAV 4,GREEN
false,MERCEDES,SUV,BLACK
false,BUICK,ENCLAVE,WHITE
false,MITSUBISHI,GALLANT,WHITE
false,ACURA,SUV,BLACK
false,FORD,F150,"BLUE, DARK"
false,HONDA,ACCORD,RED
true,KAWASAKI,NINJA,GREEN
false,ACURA,MDX,BLACK
false,TOYOTA,4RUNNER,GRAY
false,CHEV,MALIBU,WHITE
false,TOYOTA,CAMERY,WHITE
false,CHRY,SEBRING,SILVER
false,TOYOTA,CAMRY,WHITE
false,MAZDA,3,SILVER
false,KIA,4D,WHITE
false,INFI,G35,SILVER
false,FORD,2S,BEIGE
false,FORD,EXPLORER,RED
true,SUNNY,NINGBO,RED
false,INFI,G37,SILVER
false,HOND,CIVIC,WHITE
false,TOYOTA,RAV 4,BLUE
false,FORD,EXPEDITION,BLACK
false,PONTIAC,GRAND AM,RED
false,LINCOLN,MARK LT,CREAM
false,SUBARU,OUTBACK,WHITE
false,MITSUBISHI,GALANT,RED
false,FORD,FOCUS,GOLD
false,WV,JETTA,GRAY
false,HYUNDA,TUCSON,RED
false,JEEP,SUV,BLACK
false,HONDA,2S,BLACK
false,GMC,YUKON,BLACK
false,FIAT,500,RED
false,NISS,4S,TAN
false,HOND,4S,BEIGE
false,HONDA,CIVIC,GREEN
false,FORD,EXPEDITION,BLACK
false,LEXUS,GS300,BLACK
false,MAZDA,2,SILVER
false,TOYOTA,CAMRY,PURPLE
false,BMW,4S,TAN
false,CHEVROLET,CAVALIER,GOLD
false,OLDS,4S,WHITE
false,FORD,TK EXPLPORER,WHITE
false,HONDA,CIV,SILVER
false,TOYOTA,COROLLA,TAN
false,MITS,4S,RED
false,FORD,EXPLORER,GREEN
false,DODGE,PICK UP,BLACK
false,HOND,ACCORD 4S,SILVER
false,PONT,4S,BLACK
false,AUDI,4S,BLACK
false,TOYOTA,SIENNA,"GREEN, DK"
false,TOYOT,PRIUS,BLACK
false,HONDA,PILOT,GRAY
false,CADI,CEVILLE,TAN
false,CHRYSLER,200,WHITE
false,FORD,MUSTANG,BLACK
false,TOYOTA,TACOMA,GRAY
false,LEXUS,ES300,WHITE
false,TOYT,COROLLA,RED
false,PONTIAC,GRAND PRIX,BLACK
false,NISSAN,SENTRA,BLACK
false,CHEVY,EQUINOX,BLACK
false,MERZ,GLK350,BLACK
false,TOYOTA,CAMRY,SILVER
false,CHEVROLET,BLAZER,BLACK
false,NISSAN,SENTRA,TAN
false,HONDA,4DR,SILVER
false,DODGE,TRUCK,"BLUE, LIGHT"
false,NISSAN,350 Z 2 DOOR,SILVER
false,LNDR,SUV,GREEN
false,NISS,4S,BLACK
false,CHEVY,IMPALA  LT,SILVER
false,INFI,4S,SILVER
false,JEEP,COMPASS,WHITE
false,SUBRARU,IMPREZA,BLUE
false,DODGE,DURANGO,SILVER
false,SATURN,SUV,RED
false,DODGE,TRUCK 4X4,RED
false,TOYOTA,CAMRY,GREEN
false,LINC,TK,BLACK
false,HONDA,PILOT,BLACK
false,BUICK,LUCERNE,SILVER
false,CHEVY,ASTRO,GRAY
false,TOYOTA,HIGHLANDER,WHITE
false,SATR,VUE SUV,BLUE
false,DODGE,2D,WHITE
false,CHEV,TK,GREEN
false,LANDROVER,HSE,WHITE
false,DODGE,INTREPID,GOLD
false,TOY,COROLLA,BLUE
false,INFINITI,FX35,BEIGE
false,DODGE,MAGNUM,GRAY
true,CHRYSLER,PACIFICA,"BLUE, LIGHT"
false,ACUR,2S,GREEN
false,ACURA,INTEGRA,RED
false,FORD,RANGER,BLUE
false,TOYOTA,4RUNNER,TAN
false,JEEP,4X4,BLACK
false,MERCURY,GABLE,SILVER
false,NISSAN,ALTIMA,BLUE
false,JEEP,TRK,GREEN
false,HYUNDAI,ELANTRA,RED
false,FORD,CROWN VIC,BLACK
false,CHEVY,2500,TAN
false,TOYOTA,2D,WHITE
false,TOYOTA,SEQUUIA,GOLD
false,NISS,VERSA,BLACK
false,MERCEDES,4S,GRAY
false,HONDA,ACCORD,GREEN
false,CHEVY,TAHOE,BLACK
false,XX,XX,N/A
false,SAAB,4S,GOLD
false,HOND,CIVIC  4S,SILVER
false,FORD,CV,BLUE
false,CHEVY,IMPALA,TAN
false,BMW,325I,BLACK
false,TOYT,4D,SILVER
false,CHEV,MALIBU,WHITE
false,CHEV,4S,PURPLE
false,BUICK,CENTURY,BLUE
false,ACURA,RSX,RED
false,HONDA,ACCORD,WHITE
false,FORD,TK,RED
false,MITSUBISHI,GALANT,GRAY
false,SAAB,93,BLUE
false,JEEP,4 DOOR,BLACK
false,HONDA,ACCORD,BLACK
false,HONDA,CIVIC,BLUE
false,LEXUS,GS300,GRAY
false,FORD,F150,RED
false,CADI,TK,GOLD
false,TOYOTA,HIGHLANDER,GREEN
false,NISSAN,PATHFINDER,"BLUE, LIGHT"
false,VOLV,4S,BLACK
false,CHEV,TRAIL BLAZER,TAN
false,FORD,RANGER,RED
false,DODG,STRATUS,SILVER
false,CRUZ,CRUZ,SILVER
false,TOYOTA,SIENNA,GOLD
false,HONDA,ACCORD,GRAY
false,NISS,TK,WHITE
false,TOYOTA,COROLLA,TAN
false,HONDA,FIT,BLUE
false,MERZ,4S,TAN
false,JEEP,GRAND CHEROKEE,BLACK
false,LEXUS,4DR,TAN
false,TOYOTA,YARIS,BLACK
true,HOND,ACCORD,BLACK
false,CHRY,SEBRING,MAROON
false,HONDA,ACCORD,RED
false,FORD,ESCAPE,GRAY
false,HOND,PILOT,BLACK
false,VOLK,2S,GREEN
false,FORD,VN,WHITE
false,TOYOTA,COROLLA,BLUE
false,HOND,TK,MAROON
false,HONDA,TRK,GRAY
false,HYANDAI,SONATA,BLACK
false,MAZDA,4S,GOLD
false,CHRYSLER,SEBRING,SILVER
false,HYUN,4S,SILVER
false,FORD,EXPLORER SPTR,BLUE
false,HONDA,CIVIC,BLACK
false,INFI,4S,GREEN
false,TOYOTA,CAMRY,BLACK
false,TOYOTA,COROLLA,"BLUE, DARK"
false,MERC,4S,SILVER
false,NISSAN,MAXIMA,BLACK
false,HONDA,ACCORD,SILVER
false,CHEV,MALIBU,SILVER
false,NISSAN,ALTIMOA,BLACK
false,HONDA,ACCORD,RED
false,LEXUS,ES 350,TAN
false,FORD,F250,"BLUE, DARK"
false,HONDA,ACCORD,GRAY
false,TOYOTA,SIENNA,WHITE
false,FORD,F150,BLACK
false,HONDA,ACCORD,BLACK
false,NISS,4S,WHITE
false,CHEVY,EQUINOX,WHITE
false,HOND,ACCORD 4S,GOLD
false,HONDA,ACCORD,SILVER
false,FORD,MUSTANG,RED
true,CHRYSLER,SEBRING,WHITE
false,CHEVY,MALIBU,SILVER
false,CHEV,TK,TAN
false,CHRYSLER,LEBARON,GREEN
false,FORD,BOX TRUCK,WHITE
false,HUMMER,H3,GRAY
false,HYUN,ELANTRA,BLACK
false,GMC,YUKON,BLACK
false,BUICK,4S,WHITE
false,TOYT,4S,WHITE
false,FORD,TAURUS,SILVER
false,MITSUBUSHI,MONTERO,BLACK
false,MERC,4S,GRAY
false,JEEP,CHEROKEE,GRAY
false,KIA,RIO,SILVER
false,LEXUS,RX350,GOLD
false,INFINITI,I35,BEIGE
false,HONDA,ODYSSEY,RED
false,HONDA,ACCORD,"BLUE, DARK"
false,HONDA,CIVIC,BLUE
false,HYUNDAI,SONATA,SILVER
false,MERZ,TK,TAN
false,HONDA,4S,"BLUE, LIGHT"
false,HONDA,ACCORD,"BLUE, DARK"
false,NISSAN,ROGUE,SILVER
false,MAZDA,3,GRAY
false,TOYT,4D,BLACK
false,MAZDA,TRIBUTE,WHITE
false,HONDA,CIVIC,BLUE
false,TOYOTA,CAMRY,WHITE
false,JEEP,SUV,GREEN
false,TOYT,COROLLA,"BLUE, DARK"
false,FORD,PICK UP,GRAY
false,FORD,MUSTANG,BLACK
false,HYUNDAI,ACCENT,BLUE
false,TOYOTA,CAMRY,GRAY
false,HONDA,SCCORD,"GREEN, DK"
false,LEXUS,4S,"BLUE, DARK"
false,HOND,4S,BLACK
false,BUICK,4S,SILVER
false,ACURA,4D,"GREEN, DK"
false,CHEVROLET,SUBURBAN,BLACK
false,SATU,OUTLOOK,SILVER
false,SCION,TC,MAROON
false,FORD,F150,RED
false,HONDA,VN,BLUE
false,BUICK,LUCERNE,WHITE
false,MERCURY,MOUNTAINEER,WHITE
false,MERCEDES,C300,SILVER
false,TOYOTA,AVALON,BLUE
false,CHEVY,IMPALA,GRAY
false,FORD,ESCAPE,GRAY
false,MAZDA,3,BLUE
false,DODGE,TK,"GREEN, DK"
false,CHEV,TK,RED
false,MITS,TK,WHITE
false,BUIC,4S,BLACK
false,FORD,TRUCK,RED
false,FORD,4D,BLACK
false,GEO,PRIZM,GREEN
false,CHEV,TRAVERSE,GRAY
false,TOYOTA,COROLLA,BLACK
false,NISSAN,SENTRA,BLUE
false,TOYOTA,COROLLA,RED
false,AUDI,4S,GRAY
false,HOND,4S,GRAY
false,FORD,TAURUS,GREEN
false,FORD,CROWN VIC,MAROON
false,FORD,EXPLORER,SILVER
false,TOYOTA,4RUNNER,BLACK
false,TOYOTA,COROLLA,SILVER
false,ACURA,MDX,SILVER
false,JEEP,SW,SILVER
false,HONDA,CIVIC,"BLUE, LIGHT"
false,CHRYSLER,300,SILVER
false,CHRY,4S,"BLUE, DARK"
false,TOYOTA,CAMRY,BLUE
false,LINC,4S,RED
false,FORD,TRUCK,BLUE
false,DODG,VN,BLUE
false,CHRYSLER,PT CRUISER,BLACK
false,VOLK,4S,GRAY
false,RANGE ROVER,SPORT HSE,SILVER
false,HYUN,4S,SILVER
false,MAZDA,CX7,"BLUE, LIGHT"
false,FORD,EXPLORER,BLUE
false,CHRYSLER,300,BLACK
false,NISS,4S,SILVER
false,TOYOTA,CAMRY,RED
false,HONDA,CIVIV,BLACK
false,TOYOTA,CAMRY,BLUE
false,TOYT,4S,RED
false,HONDA,CIVIC,BLACK
false,TOYOTA,CORROLA,SILVER
false,MAZD,3,SILVER
false,TOYT,COROLLA - 4S,"GREEN, LGT"
false,CHEVROLET,TK,SILVER
false,TOYOTA,SOLARA,"BLUE, LIGHT"
false,MITS,ECLIPSE,BLACK
false,ACUR,SUMDX,BLACK
false,CHEVY,COBALT,RED
false,HOND,CP,SILVER
false,SUBA,SW,SILVER
false,HYUNDAI,ELANTRA,GRAY
false,MITSUBISHI,SUV,BLUE
false,CHRY,2S,BLACK
false,NISSAN,QUEST,SILVER
false,TOYOTA,TACOMA,GOLD
false,BMW,325I,WHITE
false,PLYMOUTH,BREEZE,"GREEN, DK"
false,TOYOTA,COROLLA,BLUE
false,FORD,EXPLORE,RED
false,CHRY,VAN,"BLUE, DARK"
false,HOND,ACCORD,GRAY
false,HOND,2S,BLUE
false,M BENZ,C300 SEDAN,SILVER
false,TOYOTA,CAMRY,WHITE
false,FORD,FUSION,SILVER
false,TOYOTA,SIENA,TAN
false,BMW,550I,BLACK
false,CHEVROLET,EXPRESS,WHITE
false,DODGE,CHALLENGER,SILVER
false,HONDA,CIVIC,"BLUE, LIGHT"
false,HONDA,PILOT,GREEN
false,TOYT,COROLLA,GOLD
false,FORD,TK,RED
false,NISSAN,SENTRA,RED
false,FORD,EXPLORER XLT,RED
false,TOYT,SIENNA,GRAY
false,HOND,SU,BLUE
false,FORD,TK,BLUE
false,TOYT,AVALON,SILVER
false,TOYT,4S,TAN
false,GMC,YUKON XL,BLACK
false,TOYOTA,HIGHLANDER,BLUE
false,ACURA,4D,SILVER
false,TOYT,2S,BLUE
false,TOYT,4S,BLACK
false,HYUN,2S,RED
false,HONDA,CIVIC,BLUE
false,KAW,MOTORCYCLE,BLACK
false,ACUR,2S,WHITE
false,HONDA,CIVIC,WHITE
false,TOYOTA,TK,BLACK
false,NISSAN,ALTIMA,GOLD
false,CHEVEROLET,AVEO,SILVER
false,2004,MITSUBISHI,WHITE
false,BMW,4S,"GREEN, DK"
false,CHRY,VN,BLUE
false,JEEP,4X4,WHITE
false,TOYOTA,SEQUOIA,"GREEN, DK"
false,SAAB,4S,"BLUE, DARK"
false,CHEV,4S,GRAY
false,BMW,2S,BLACK
false,TOYT,SU,WHITE
false,UNKNOWN,UNKNOWN,WHITE
false,CHEV,TAHOE,RED
false,HONDA,CIVIC,BLACK
false,TOYT,4S,SILVER
false,HYUN,TK,BLACK
false,JEEP,CHEROKEE,WHITE
false,FORD,FLEX,BLACK
false,TOYT,RAV4,
false,TOYOTA,HIGHLANDER,GRAY
false,FORD,TRUCK,GREEN
false,TOYOTA,CAMRY,SILVER
false,TOYT,RAV4,WHITE
false,BENTLEY,4DR,BLACK
false,HYNDAI,ELANTRA,GRAY
false,TOYOTA,CAMRY,BROWN
false,BUICK,LESABRE,GRAY
false,TOYOTA,TACOMA,"GREEN, DK"
false,ACURA,INTEGRA,GREEN
false,FORD,F150,MAROON
false,JEEP,SUV,WHITE
false,MAZD,2.5,WHITE
false,CHEV,TRAILBLAZER,GRAY
false,TOYOTA,4RUNNER,MAROON
false,TOYOTA,COROLLA,GRAY
false,CADI,4S,WHITE
false,FORD,EXPLORER,WHITE
false,HYUNDAI,ELANTRA,CREAM
false,TOYOTA,CAMRY,GOLD
false,TOYT,RAV4,WHITE
false,DODGE,CARAVAN,BLUE
false,TOYT,VN,GOLD
false,LEXUS,TK,BLACK
false,MAZDA,PROTEGE,GREEN
false,FORD,TRUCK,WHITE
false,FORD,P/U,WHITE
false,HONDA,2S,BLACK
false,JEEP,SUV,MAROON
false,HYUN,ELANRTA,GRAY
true,VOLKSWAGON,JETTA,WHITE
false,TOYOTA,SIENNA,GRAY
false,INFINITY,Q45T,GRAY
false,TOYOTA,4RUNNER,BLACK
false,HONDA,ACCORD,TAN
false,HOND,4S,SILVER
false,HONDA,CIVIC,PURPLE
false,TOYOTA,COROLLA,BEIGE
false,FORD,FOCUS,SILVER
true,FORD,EXPEDITION,RED
false,CHEV,PRISM,BLUE
false,DODGE,TRUCK,BLUE
false,CHRYSLER,SEBRING,PURPLE
false,DODGE,RAM WAGON,BEIGE
false,NISSAN,4S,BLUE
false,HOND,TK,SILVER
false,FORD,TK,WHITE
false,CHEV,SUV,BLACK
false,MITSUBUSHI,SUV,GRAY
false,HONDA,CIVIC,SILVER
false,DODGE,TK,BLACK
false,ACURA,INTEGRA,WHITE
false,CHEVROLET,TRAILBLAZER,GRAY
false,HOND,SW,"GREEN, DK"
false,HONDA,ACCORD,BLACK
false,HOND,4S,BEIGE
false,MERC,GRAND MARQUIS,BLUE
false,NONE,NONE,N/A
true,MERZ,C300,WHITE
false,NISSAN,MAXIMA,GOLD
false,LEXUS,TK,WHITE
false,HONDA,ACCORD,SILVER
false,FORD,TRUCK,WHITE
false,DODGE,CALIBER,BLACK
true,TOYOTA,COROLLA,TAN
false,HOND,4S,GREEN
false,MERZ,C250,BLUE
false,HONDA,CIVIC,RED
false,TOYOTA,SCION,BLUE
false,FORD,F-150,RED
false,HYUN,ACCENT,"BLUE, LIGHT"
false,DODGE,TK,BLACK
false,NISSAN,SENTRA,BLACK
false,FORD,AEROSTAR,WHITE
false,BMW,735,BLACK
false,OLDSMOBILE,EIGHTYEIGHT,MAROON
false,HONDA,ACCORD,SILVER
false,TOYOTA,FJ CRUISER,SILVER
false,MERCEDEZ,E350,SILVER
false,CHEVY,2500,GREEN
false,FORD,TK,WHITE
false,SAAB,4S,WHITE
false,CHEV,LUMINA,GREEN
false,NISSAN,ALTIMA,BLACK
false,MERCEDEZ,CLK350,WHITE
false,HONDA,DELSOL,RED
false,MAZADA,626,"GREEN, DK"
false,HONDA,ACCORD,GRAY
false,MERCURY,SABLE,"GREEN, DK"
false,VOLK,JETTA,RED
false,TOYOTA,SIENNA,SILVER
false,MERZ,4S,BLACK
false,HONDA,FIT,"BLUE, LIGHT"
false,HONDA,CRV,SILVER
false,HONDA,CIVIC,SILVER
false,CHEV,MONT,BLACK
false,FORD,FOCUS,RED
false,ACURA,2S,WHITE
false,MERCEDES,C320,BLACK
false,CHEV,CAVILER,SILVER
false,HONDA,ACCORD,SILVER
false,RIELLA,SCOOTER,WHITE
true,TOYOTA,COROLLA,SILVER
false,NONE,NONE,N/A
false,TOYT,4S,SILVER
false,HONDA,ODYSSEY (VAN),"BLUE, LIGHT"
false,MERC,CLK 350,BLACK
false,TOYOTA,CAMRY,GREEN
false,ACURA,2S,GRAY
false,HYUNDAI,SANTA FE,GRAY
false,MAZD,4S,SILVER
false,HYUNDAI,ELANTRA,TAN
false,HONDA,ACCORD,TAN
false,HYUNDAI,TUSCON,"BLUE, LIGHT"
false,TOYT,TK,BLUE
false,NISSAN,MAXIMA,SILVER
false,TOYT,TK,GRAY
false,TOYT,HY,RED
false,NONE,NONE,N/A
false,MERZ,SUV,BLACK
false,ACURA,4S,GRAY
false,KIA,RIO,RED
false,HONDA,CIVIC,SILVER
false,TOYT,SU,BRONZE
false,FORD,TK,BLACK
false,FORD,WINDSTAR VAN,BLUE
false,AUDI,A6,WHITE
false,MERZ,4 D,SILVER
true,MITS,LANCER,GRAY
false,ACURA,2.5 TL,"GREEN, DK"
false,NISS,SENTRA,SILVER
false,FORD,TAURUS,"GREEN, LGT"
false,NONE,NONE,N/A
false,FORD,2S,SILVER
false,GMC,YUKON,GRAY
false,CHRYSLER,SEBRING,BLUE
false,AUDI,A8,SILVER
false,NISS,4S,BEIGE
false,FORD,MUSTANG,BLACK
false,FORD,4DR,RED
false,TOYOTA,VENZA,WHITE
false,HONDA,CIVIC,BLACK
false,HONDA,CIVIC,SILVER
false,CHEVY,PRISM,GREEN
false,PONTIAC,GT,GRAY
false,TOYT,CAMRY,SILVER
false,FORD,EXPLORER,RED
false,PONTIAC,4S,BLACK
false,TOYOTA,COROLLA,GREEN
false,DODGE,DURANGO,BLACK
false,TOYOTA,COROLLA,RED
false,HARLEY DAVIDSON,MOTORCYVLE,SILVER
false,TOYOTA,CAMRY,SILVER
false,FORD,MUSTANG,"GREEN, LGT"
false,AUDI,A4,BLACK
false,VOLV,4S,RED
false,MERC,GLK350,GRAY
false,HOND,ACCORD,BLACK
false,VOLK,JETTA,SILVER
false,DODG,2S,GREEN
false,MERCEDES,SLK350 CONV,"BLUE, LIGHT"
false,HONDA,ACCORD,SILVER
false,MITSUBISHI,LANCER,BLACK
false,DODGE,CHARGER,BLACK
false,FORD,TAURUS,WHITE
false,INFINITY,QX4,SILVER
false,JEEP,WRANGLER,BLUE
false,CHEV,TK,"BLUE, DARK"
false,FORD,PICK UP,BLUE
false,MITS,GALANT,SILVER
false,NISSAN,SENTRA,GRAY
false,CADI,STS,BLACK
false,NONE,NONE,N/A
false,TOYOTA,TACOMA,GREEN
false,CADILLAC,CTS,SILVER
false,SATURN,LS,SILVER
false,HONDA,ACCORD,GOLD
false,DODGE,CALIBER,ORANGE
false,TOYOTA,COROLLA,GRAY
false,TOYOTA,CAMRY,BLACK
false,PONT,2H,BLACK
false,FORD,ECONOLINE,WHITE
false,LINCOLN,BOULEVARD,RED
false,HYUNDAI,ELANTRA,BLUE
false,HONDA,ACCORD,BLACK
false,TOYT,4S,BLUE
false,CHRY,4S,BLUE
false,TOYOTA,COROLLA,RED
false,MAZDA,3,BLUE
false,AUDI,S5,BLACK
false,MERC,GRAND MAR,WHITE
false,MERCEDES,SUV,BLACK
false,DODG,VN,"BLUE, DARK"
false,VOLK,JETTA,"BLUE, DARK"
false,TOYT,4S,GREEN
false,HYUNDIA,ELANTRA,SILVER
false,NISSAN,FRONTIER,RED
false,HONDA,ACCORD,RED
false,VOLKSWAGON,EOS,WHITE
false,SUBARU,FORESTER,"BLUE, LIGHT"
false,MAZD,3,BLACK
false,CHEV,MALIBU,WHITE
false,GMC,YUKON,SILVER
false,CHRY,SEBRING,SILVER
false,TOYOTA,CAMRY,WHITE
true,CHRY,PT CRUISER,SILVER
false,FORD,MUSTANG,BLACK
false,VOLKSWAGON,JETTA,BLUE
false,FORD,2S,BEIGE
false,FORD,EXPLORER,RED
true,SUNNY,NINGBO,RED
false,TOYT,VAN,RED
false,HYUNDAI,ELANTRA,BLACK
false,TOYOTA,HIGHLANDER,GRAY
